id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,70,3,364,2024-11-24,2.14,2,80,39,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,72,3,328,2025-02-25,1.95,2,127,39,
159889,Friendly Single Room,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,45,2,448,2025-03-04,2.84,3,278,30,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,88,2,391,2025-02-02,3.29,2,49,15,
165828,Pádraig Pearse apt. Kilmainham,790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,210,3,82,2025-02-02,0.50,4,109,6,
165829,"The ""Michael Collins"" apartment",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,245,3,85,2025-01-21,0.53,4,95,5,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,71,1,559,2025-03-03,3.48,3,109,62,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34596,-6.41719,Private room,30,30,48,2024-11-30,0.32,1,97,3,
292757,Old World Converted Stables with Swimming Pool.,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,130,2,476,2025-02-22,3.12,1,98,42,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,127,2,76,2024-06-20,0.48,8,1,6,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,75,2,166,2025-02-15,1.05,8,177,24,
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.341997210593505,-6.27368487417698,Private room,81,2,290,2025-02-16,1.85,3,5,25,
365854,Boutique Centre 1BR w. Free Wifi,1847391,Diane,,Dublin City,53.35314,-6.25652,Entire home/apt,147,2,191,2024-12-27,1.21,1,135,3,
374792,"'Grace Gifford' cottage, Kilmainham",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,203,3,36,2024-05-03,0.23,4,199,1,
380174,★Seaside Modern ★ Walk Everywhere | Luxury Complex,1907867,Beth,,Dn Laoghaire-Rathdown,53.29521,-6.13692,Entire home/apt,,31,11,2018-09-10,0.09,1,1,0,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,152,2,173,2024-11-04,1.15,8,205,7,
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,148,2,654,2025-02-03,4.22,4,111,48,
426326,Large room with double & single Bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,130,1,268,2024-08-18,1.73,3,16,4,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,155,2,606,2025-02-02,3.87,4,130,34,
427495,Lovely attic room with double bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,110,1,188,2024-09-01,1.23,3,346,3,
451611,Best location balcony St Patrick's view,1607393,Daragh,,Dublin City,53.3404,-6.27256,Entire home/apt,127,3,632,2024-10-28,4.07,3,48,44,
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35336,-6.44968,Private room,135,1,403,2025-02-13,2.65,3,340,41,
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,148,2,538,2024-12-08,3.48,4,120,38,
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34752,-6.26393,Entire home/apt,179,2,688,2025-02-19,4.52,1,1,50,
575890,Cosy Red Brick in heart of Dublin,2832845,Dez,,Dublin City,53.34162,-6.2747,Entire home/apt,125,5,2,2022-10-01,0.06,2,18,0,
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36405,-6.27351,Private room,90,2,306,2025-03-01,2.02,1,124,41,
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35338,-6.44994,Private room,65,1,116,2025-02-01,0.76,3,345,28,
631270,Ringsend near city centre cosy room double bed,3125619,Freda,,Dublin City,53.34095,-6.23277,Private room,114,3,65,2024-09-15,0.62,2,119,16,
654589,City Centre Apartment | Temple Bar | Dublin Castle,3244025,Garrett,,Dublin City,53.34493,-6.26688,Entire home/apt,269,1,665,2025-02-21,4.37,2,226,45,
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,365,4,246,2025-02-05,1.72,1,246,15,
715205,Gracepark Guesthouse 1,3683952,Roy,,Dublin City,53.368837598173094,-6.249314785003654,Private room,90,1,185,2025-02-19,1.23,3,337,90,
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.58175,-6.1226,Entire home/apt,149,2,225,2025-02-18,1.61,1,194,19,
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Mary,,Dublin City,53.36973,-6.25788,Entire home/apt,125,21,4,2024-08-30,0.03,1,37,1,
736751,Gracepark Guesthouse 2,3683952,Roy,,Dublin City,53.36786925614428,-6.250431447766409,Private room,,1,113,2024-09-30,0.75,3,0,39,
736773,Gracepark Guesthouse 3,3683952,Roy,,Dublin City,53.37029,-6.25113,Private room,,1,79,2024-09-30,0.54,3,0,16,
742656,Camden Central. Dublin at your door,3888023,Daragh,,Dublin City,53.33387,-6.26429,Private room,70,2,480,2025-02-02,3.56,2,36,33,
869956,Bright double room in independent house near UCD,4584609,Silvia,,Dn Laoghaire-Rathdown,53.30456,-6.20356,Private room,,7,13,2024-12-13,0.09,3,10,2,
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35789,-6.23813,Entire home/apt,270,3,162,2024-09-11,1.11,1,233,16,
922425,Perfect Location City Centre House,1607393,Daragh,,Dublin City,53.34202,-6.27351,Entire home/apt,,3,141,2025-01-01,0.97,3,1,6,
998407,self contained cozy tot private near city & airpor,1245198,Amanda,,Dublin City,53.39622,-6.1756,Entire home/apt,66,1,339,2024-12-09,2.70,3,158,35,
999963,"City living with garden, park, canal, luas",5497230,Sarah And Johnny,,Dublin City,53.36193,-6.27423,Entire home/apt,405,7,11,2023-08-08,0.09,1,0,0,
1073487,"UCD Adjacent House 
- 7 mins walks to College Gate",5905039,Jane,,Dn Laoghaire-Rathdown,53.30443,-6.24083,Private room,95,2,104,2025-01-18,0.72,1,358,11,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35846,-6.27528,Entire home/apt,136,2,285,2024-12-10,1.98,1,21,17,
1173029,Great house in vibrant Stoneybatter,3448346,Ian,,Dublin City,53.35107,-6.27992,Entire home/apt,234,3,485,2025-02-24,4.10,1,91,70,
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,390,5,99,2024-09-28,0.70,1,73,11,
1255270,No1 friendly family home,6837751,Siobhan,,South Dublin,53.33883,-6.433,Private room,45,30,22,2024-10-01,0.16,2,123,4,
1270261,Old Country house,474328,James,,Fingal,53.5668,-6.31556,Private room,50,1,13,2023-08-13,0.10,1,365,0,
1299470,Large Georgian House @ Malahide Beach,6287304,Jonathan,,Fingal,53.44352,-6.13357,Entire home/apt,585,3,2,2025-01-01,0.73,1,297,2,
1345435,"Townhouse, Portobello",435734,Conor,,Dublin City,53.33095,-6.27176,Entire home/apt,189,2,35,2019-11-18,0.27,1,0,0,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Stephen,,Dublin City,53.33677,-6.28899,Private room,90,2,168,2024-10-28,1.19,2,20,13,
1407832,Near the sea Dublin family house,5818278,Therese,,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,,6,66,2024-08-10,0.47,1,0,1,
1466234,Single room,5940448,Elva,,Dublin City,53.32894,-6.30413,Private room,43,4,218,2024-10-14,1.55,1,205,32,
1478255,Country Cottage in the city,7910820,Michael,,Dublin City,53.343592510553115,-6.221619842327872,Entire home/apt,238,2,22,2024-08-19,1.86,1,323,22,
1510400,Spacious and Contemporary House,8066896,Ken,,Dublin City,53.32956,-6.32588,Entire home/apt,,100,8,2023-06-23,0.06,1,90,0,
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,,Dublin City,53.33514,-6.26772,Private room,85,2,66,2023-05-08,0.48,2,37,0,
1596451,"Stunning architectural home, sleeps 8, Dublin.",6219661,Sonya,,Dublin City,53.36205,-6.2442,Entire home/apt,1000,3,17,2016-05-30,0.12,1,334,0,
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,,Dublin City,53.33511,-6.26875,Private room,127,2,78,2024-12-09,0.58,2,15,3,
1711261,Kilmainham Lane Terrace,1390012,Andy,,Dublin City,53.34432,-6.29733,Entire home/apt,,7,15,2024-05-20,0.16,1,0,1,
1729959,Kim's House,9115187,Kim,,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,215,5,8,2024-07-12,0.07,2,8,1,
1906221,"Great double room,Dublin",9084049,Jose&Vadym,,Dublin City,53.33688,-6.29419,Private room,130,2,599,2024-12-23,4.37,2,0,26,
